"時点","地域コード","地域","新設住宅着工戸数（総戸数）【戸】","注記"
"2016年","20000","長野県","11914",""
"2016年","21000","岐阜県","10521",""
"2016年","22000","静岡県","24951",""
"2016年","23000","愛知県","62377",""
"2016年","24000","三重県","10548",""
"2016年","25000","滋賀県","9399",""
"2016年","26000","京都府","17017",""
"2016年","27000","大阪府","69466",""
"2016年","28000","兵庫県","34224",""
"2016年","29000","奈良県","6734",""
"2016年","30000","和歌山県","4806",""
"2016年","31000","鳥取県","2857",""
"2016年","32000","島根県","3477",""
"2016年","33000","岡山県","13405",""
"2016年","34000","広島県","18346",""
"2016年","35000","山口県","8401",""
"2016年","36000","徳島県","4506",""
"2016年","37000","香川県","6898",""
"2016年","38000","愛媛県","7278",""
"2016年","39000","高知県","3098",""
"2016年","40000","福岡県","42856",""
"2016年","41000","佐賀県","5463",""
"2016年","42000","長崎県","7147",""
"2016年","43000","熊本県","12766",""
"2016年","44000","大分県","7139",""
"2016年","45000","宮崎県","7337",""
"2016年","46000","鹿児島県","11613",""
"2016年","47000","沖縄県","16201",""
"2017年","01000","北海道","37441",""
"2017年","02000","青森県","6509",""
"2017年","03000","岩手県","7809",""
"2017年","04000","宮城県","21580",""
"2017年","05000","秋田県","4071",""
"2017年","06000","山形県","5531",""
"2017年","07000","福島県","14710",""
"2017年","08000","茨城県","21423",""
"2017年","09000","栃木県","13629",""
"2017年","10000","群馬県","14549",""
"2017年","11000","埼玉県","59617",""
"2017年","12000","千葉県","52568",""
"2017年","13000","東京都","150350",""
"2017年","14000","神奈川県","76689",""
"2017年","15000","新潟県","11887",""
"2017年","16000","富山県","6768",""
"2017年","17000","石川県","7840",""
"2017年","18000","福井県","4008",""
"2017年","19000","山梨県","4897",""
"2017年","20000","長野県","11853",""
"2017年","21000","岐阜県","11368",""
"2017年","22000","静岡県","23377",""
"2017年","23000","愛知県","63650",""
"2017年","24000","三重県","10347",""
"2017年","25000","滋賀県","8924",""
"2017年","26000","京都府","14790",""
"2017年","27000","大阪府","68963",""
"2017年","28000","兵庫県","34903",""
"2017年","29000","奈良県","6550",""
"2017年","30000","和歌山県","4539",""
"2017年","31000","鳥取県","2805",""
"2017年","32000","島根県","3460",""
"2017年","33000","岡山県","13327",""
"2017年","34000","広島県","20944",""
"2017年","35000","山口県","7532",""
"2017年","36000","徳島県","4859",""
"2017年","37000","香川県","7063",""
"2017年","38000","愛媛県","7696",""
"2017年","39000","高知県","3326",""
"2017年","40000","福岡県","42557",""
"2017年","41000","佐賀県","5519",""
"2017年","42000","長崎県","7578",""
"2017年","43000","熊本県","15971",""
"2017年","44000","大分県","6889",""
"2017年","45000","宮崎県","6985",""
"2017年","46000","鹿児島県","10399",""
"2017年","47000","沖縄県","16591",""
"2018年","01000","北海道","35888",""
"2018年","02000","青森県","6431",""
"2018年","03000","岩手県","8365",""
"2018年","04000","宮城県","19646",""
"2018年","05000","秋田県","4357",""
"2018年","06000","山形県","6362",""
"2018年","07000","福島県","12761",""
"2018年","08000","茨城県","20125",""
"2018年","09000","栃木県","13348",""
"2018年","10000","群馬県","12861",""
"2018年","11000","埼玉県","58517",""
"2018年","12000","千葉県","46807",""
"2018年","13000","東京都","144813",""
"2018年","14000","神奈川県","72449",""
"2018年","15000","新潟県","11672",""
