"時点","地域コード","地域","旅館営業施設数（ホテルを含む）【施設】","注記"
"1984年","21000","岐阜県","1997",""
"1984年","22000","静岡県","5357",""
"1984年","23000","愛知県","2510",""
"1984年","24000","三重県","2668",""
"1984年","25000","滋賀県","858",""
"1984年","26000","京都府","1486",""
"1984年","27000","大阪府","1730",""
"1984年","28000","兵庫県","2989",""
"1984年","29000","奈良県","695",""
"1984年","30000","和歌山県","1245",""
"1984年","31000","鳥取県","691",""
"1984年","32000","島根県","905",""
"1984年","33000","岡山県","1447",""
"1984年","34000","広島県","1315",""
"1984年","35000","山口県","1541",""
"1984年","36000","徳島県","1090",""
"1984年","37000","香川県","976",""
"1984年","38000","愛媛県","1213",""
"1984年","39000","高知県","957",""
"1984年","40000","福岡県","2137",""
"1984年","41000","佐賀県","685",""
"1984年","42000","長崎県","1179",""
"1984年","43000","熊本県","1860",""
"1984年","44000","大分県","1706",""
"1984年","45000","宮崎県","943",""
"1984年","46000","鹿児島県","1834",""
"1984年","47000","沖縄県","976",""
"1985年","01000","北海道","4818",""
"1985年","02000","青森県","1433",""
"1985年","03000","岩手県","1241",""
"1985年","04000","宮城県","1252",""
"1985年","05000","秋田県","978",""
"1985年","06000","山形県","1343",""
"1985年","07000","福島県","2457",""
"1985年","08000","茨城県","1766",""
"1985年","09000","栃木県","1872",""
"1985年","10000","群馬県","1838",""
"1985年","11000","埼玉県","1098",""
"1985年","12000","千葉県","2469",""
"1985年","13000","東京都","2780",""
"1985年","14000","神奈川県","2661",""
"1985年","15000","新潟県","3957",""
"1985年","16000","富山県","786",""
"1985年","17000","石川県","1302",""
"1985年","18000","福井県","1492",""
"1985年","19000","山梨県","1681",""
"1985年","20000","長野県","3994",""
"1985年","21000","岐阜県","2005",""
"1985年","22000","静岡県","5408",""
"1985年","23000","愛知県","2496",""
"1985年","24000","三重県","2687",""
"1985年","25000","滋賀県","861",""
"1985年","26000","京都府","1454",""
"1985年","27000","大阪府","1735",""
"1985年","28000","兵庫県","3000",""
"1985年","29000","奈良県","696",""
"1985年","30000","和歌山県","1380",""
"1985年","31000","鳥取県","695",""
"1985年","32000","島根県","886",""
"1985年","33000","岡山県","1356",""
"1985年","34000","広島県","1311",""
"1985年","35000","山口県","1533",""
"1985年","36000","徳島県","1084",""
"1985年","37000","香川県","939",""
"1985年","38000","愛媛県","1210",""
"1985年","39000","高知県","954",""
"1985年","40000","福岡県","2123",""
"1985年","41000","佐賀県","673",""
"1985年","42000","長崎県","1149",""
"1985年","43000","熊本県","1843",""
"1985年","44000","大分県","1701",""
"1985年","45000","宮崎県","995",""
"1985年","46000","鹿児島県","1826",""
"1985年","47000","沖縄県","955",""
"1986年","01000","北海道","4761",""
"1986年","02000","青森県","1445",""
"1986年","03000","岩手県","1257",""
"1986年","04000","宮城県","1262",""
"1986年","05000","秋田県","959",""
"1986年","06000","山形県","1342",""
"1986年","07000","福島県","2469",""
"1986年","08000","茨城県","1800",""
"1986年","09000","栃木県","1909",""
"1986年","10000","群馬県","1827",""
"1986年","11000","埼玉県","1118",""
"1986年","12000","千葉県","2469",""
"1986年","13000","東京都","2759",""
"1986年","14000","神奈川県","2655",""
"1986年","15000","新潟県","4171",""
"1986年","16000","富山県","790",""
"1986年","17000","石川県","1306",""
"1986年","18000","福井県","1489",""
"1986年","19000","山梨県","1746",""
"1986年","20000","長野県","4047",""
"1986年","21000","岐阜県","2023",""
"1986年","22000","静岡県","5501",""
"1986年","23000","愛知県","2436",""
"1986年","24000","三重県","2675",""
"1986年","25000","滋賀県","877",""
"1986年","26000","京都府","1450",""
"1986年","27000","大阪府","1767",""
"1986年","28000","兵庫県","2978",""
"1986年","29000","奈良県","703",""
"1986年","30000","和歌山県","1372",""
"1986年","31000","鳥取県","698",""
"1986年","32000","島根県","872",""
"1986年","33000","岡山県","1321",""
"1986年","34000","広島県","1304",""
"1986年","35000","山口県","1530",""
"1986年","36000","徳島県","1062",""
"1986年","37000","香川県","920",""
"1986年","38000","愛媛県","1190",""
"1986年","39000","高知県","947",""
"1986年","40000","福岡県","2058",""
"1986年","41000","佐賀県","667",""
"1986年","42000","長崎県","1122",""
"1986年","43000","熊本県","1832",""
"1986年","44000","大分県","1686",""
"1986年","45000","宮崎県","983",""
"1986年","46000","鹿児島県","1804",""
"1986年","47000","沖縄県","969",""
"1987年","01000","北海道","4709",""
"1987年","02000","青森県","1451",""
"1987年","03000","岩手県","1254",""
"1987年","04000","宮城県","1262",""
"1987年","05000","秋田県","950",""
"1987年","06000","山形県","1336",""
"1987年","07000","福島県","2471",""
"1987年","08000","茨城県","1782",""
"1987年","09000","栃木県","1937",""
"1987年","10000","群馬県","1766",""
"1987年","11000","埼玉県","1132",""
"1987年","12000","千葉県","2450",""
"1987年","13000","東京都","2714",""
"1987年","14000","神奈川県","2634",""
"1987年","15000","新潟県","4126",""
"1987年","16000","富山県","784",""
"1987年","17000","石川県","1294",""
"1987年","18000","福井県","1507",""
"1987年","19000","山梨県","1782",""
"1987年","20000","長野県","4215",""
"1987年","21000","岐阜県","2035",""
"1987年","22000","静岡県","5564",""
"1987年","23000","愛知県","2415",""
"1987年","24000","三重県","2684",""
"1987年","25000","滋賀県","886",""
"1987年","26000","京都府","1433",""
"1987年","27000","大阪府","1751",""
"1987年","28000","兵庫県","2918",""
"1987年","29000","奈良県","708",""
"1987年","30000","和歌山県","1371",""
"1987年","31000","鳥取県","688",""
"1987年","32000","島根県","871",""
"1987年","33000","岡山県","1277",""
"1987年","34000","広島県","1276",""
"1987年","35000","山口県","1511",""
"1987年","36000","徳島県","971",""
"1987年","37000","香川県","908",""
"1987年","38000","愛媛県","1182",""
"1987年","39000","高知県","861",""
"1987年","40000","福岡県","2002",""
"1987年","41000","佐賀県","652",""
"1987年","42000","長崎県","1108",""
"1987年","43000","熊本県","1845",""
"1987年","44000","大分県","1708",""
"1987年","45000","宮崎県","914",""
"1987年","46000","鹿児島県","1770",""
"1987年","47000","沖縄県","927",""
"1988年","01000","北海道","4607",""
"1988年","02000","青森県","1417",""
"1988年","03000","岩手県","1269",""
"1988年","04000","宮城県","1246",""
"1988年","05000","秋田県","949",""
"1988年","06000","山形県","1335",""
"1988年","07000","福島県","2464",""
"1988年","08000","茨城県","1771",""
"1988年","09000","栃木県","1959",""
"1988年","10000","群馬県","1735",""
"1988年","11000","埼玉県","1140",""
