"時点","地域コード","地域","売上高（サービス産業）（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（運輸業，郵便業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（不動産業，物品賃貸業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（学術研究，専門・技術サービス業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（宿泊業，飲食サービス業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（サービス産業）（生活関連サービス業，娯楽業）　（サービス産業動向調査拡大調査）【百万円】","注記","売上高（教育，学習支援業）（サービス産業動向調査拡大調査）【百万円】","注記","売上高（医療，福祉）（サービス産業動向調査拡大調査）【百万円】","注記"
"2014年","25000","滋賀県","2198345","","481284","","287578","","177329","","203287","","339028","","34855","","431761",""
"2014年","26000","京都府","5044975","","830227","","745457","","249917","","704882","","802440","","78607","","1073944",""
"2014年","27000","大阪府","25074727","","5079086","","5111827","","2172466","","2046259","","3482995","","248404","","3910775",""
"2014年","28000","兵庫県","11179626","","2675907","","1375682","","625360","","1177936","","1485034","","154018","","2522944",""
"2014年","29000","奈良県","1688670","","196173","","205554","","64370","","173602","","316071","","43567","","538808",""
"2014年","30000","和歌山県","1389972","","243948","","127840","","135630","","220585","","159261","","23284","","353383",""
"2014年","31000","鳥取県","878007","","134434","","80723","","45212","","79100","","151634","","9068","","303769",""
"2014年","32000","島根県","1082790","","153265","","141497","","51163","","99441","","110309","","15863","","412617",""
"2014年","33000","岡山県","3531468","","846266","","377979","","284678","","278891","","541984","","48741","","781956",""
"2014年","34000","広島県","5727623","","1296640","","733090","","408855","","520489","","843218","","58852","","1304870",""
"2014年","35000","山口県","2481276","","677616","","188035","","201677","","216915","","386460","","32554","","561523",""
"2014年","36000","徳島県","1177926","","200287","","103659","","72527","","116598","","198959","","6661","","403089",""
"2014年","37000","香川県","1877702","","413731","","189453","","169183","","187437","","366034","","27056","","353158",""
"2014年","38000","愛媛県","2299007","","578108","","204514","","169558","","221863","","361533","","12653","","548863",""
"2014年","39000","高知県","1108986","","118198","","80280","","65846","","85308","","201035","","9581","","474798",""
